Date,Portfolio_Value
2025-09-18,10300.417373178761
2025-09-19,10245.094166949833
2025-09-22,10122.798743356605
2025-09-23,10116.976469571264
2025-09-24,10067.475537127677
2025-09-25,9990.313894282563
2025-09-26,10028.166708303717
2025-09-29,9993.225031175232
2025-09-30,9929.165736129478
2025-10-01,9963.378959500093
2025-10-03,9924.798584434006
2025-10-06,10009.240301293139
2025-10-07,10080.578777639976
2025-10-08,9953.916202351273
2025-10-09,10029.62272310652
2025-10-10,10058.011887265919
2025-10-13,10009.240301293139
2025-10-14,10015.79192154929
2025-10-15,10004.144695839794
2025-10-16,10178.851296056342
2025-10-17,10313.521506403999
2025-10-20,10677.493069439259
2025-10-21,10665.845843729765
2025-10-23,10543.551312849475
2025-10-24,10566.845764268464
2025-10-27,10803.427190970091
2025-10-28,10823.81050549641
2025-10-29,10949.743734314303
2025-10-30,10835.456838492966
2025-10-31,10820.170914845869
2025-11-03,10807.795235378502
2025-11-04,10723.353518519369
2025-11-06,10890.780937434834
2025-11-07,10759.022756692786
2025-11-10,10825.024396998077
2025-11-11,10825.024396998077
2025-11-12,10825.024396998077
2025-11-13,10825.024396998077
2025-11-14,10825.024396998077
2025-11-17,10825.024396998077
2025-11-18,10825.024396998077
2025-11-19,10825.024396998077
2025-11-20,10825.024396998077
2025-11-21,10825.024396998077
2025-11-24,10825.024396998077
2025-11-25,10825.024396998077
2025-11-26,10825.024396998077
2025-11-27,10825.024396998077
2025-11-28,10825.024396998077
2025-12-01,10825.024396998077
2025-12-02,10825.024396998077
2025-12-03,10825.024396998077
2025-12-04,10825.024396998077
2025-12-05,10825.024396998077
2025-12-08,10825.024396998077
2025-12-09,10825.024396998077
2025-12-10,10808.794975113524
2025-12-11,10849.467189844097
2025-12-12,10849.467189844097
2025-12-15,10849.467189844097
2025-12-16,10849.467189844097
2025-12-17,10849.467189844097
2025-12-18,10849.467189844097
2025-12-19,10849.467189844097
2025-12-22,10849.467189844097
2025-12-23,10849.467189844097
2025-12-24,10849.467189844097
2025-12-26,10849.467189844097
2025-12-29,10833.201122093207
2025-12-30,10792.548520142636
